name,size,weight,quantity,address
Aquafina 500,0.29435,12.5,14,"KCN Tân Thới Hiệp, Quận 12,Tp. Hồ Chí Minh"
Aquafina 500,0.29435,12.5,12,"KCX Linh Trung 1, Quận Thủ Đức,Tp. Hồ Chí Minh"
Aquafina 350,0.1801625,11,13,"Khu công nghệ cao, Quận 9,Tp. Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"KCN Hiệp Phước, Nhà Bè,Tp. Hồ Chí Minh"
Aquafina 350,0.1801625,11,10,"37 Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,10,"Số 02 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,17,"D17/2 ấp 4, đường Võ Văn Vân, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,9,"Số 17-19-21 Lý Tự Trọng, Phường Bến Nghé,Quận 1, Thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"17 Thành Mỹ, Phường 8, Quận Tân Bình, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,7,"150/10, NGUYỄN TRÃI, PHƯỜNG BT, QUẬN 1, ho chi minh"
Aquafina 500,0.29435,12.5,7,"190A, PHAN VĂN TRỊ, PHƯỜNG 12, QUẬN Bình Thạnh, ho chi minh"
Aquafina 350,0.1801625,11,8,"33 Lý Văn Phức, Phường Tân Định, Quận 1, Tp. Hồ Chí Minh"
Aquafina 350,0.1801625,11,2,"TK26/13-14 Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1, ho chi minh"
Aquafina 350,0.1801625,11,20,"17-19-21 Lý Tự Trọng, P. Bến Nghé, Q. 1, TP. HCM"
Aquafina 500,0.29435,12.5,16,"156, LÊ LAI , PHƯỜNG BẾN THÀNH, QUẬN 1, ho chi minh"
Aquafina 350,0.1801625,11,7,"172 Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"68/5A Trần Quang Khải, Phường Tân Định, Quận 1, TP. Hồ Chí Minh"
Aquafina 500,0.29435,12.5,13,"Chung cư 57-59 ,đường Đỗ Quang Đẩu,phường Phạm Ngũ Lão,quận 1,Tp.HCM"
Aquafina 500,0.29435,12.5,17,"Số 45,đường Cô Giang,phường Cầu Ông Lãnh,quận 1,Tp.HCM"
Aquafina 350,0.1801625,11,5,"150/10 Nguyễn Trãi, Bến Thành, quận 1, ho chi minh"
Aquafina 350,0.1801625,11,9,"51, NGUYỄN TRÃI, PHƯỜNG BẾN THÀNH, QUẬN 1, ho chi minh"
Aquafina 500,0.29435,12.5,1,"13 Trần Khắc Trân, Phường Tân Định, Quận 1, TP Hồ Chí Minh"
Aquafina 350,0.1801625,11,8,"98 Nguyễn Đình Chiểu P.Đa Kao Quận 1, TPHCM"
Aquafina 500,0.29435,12.5,13,"91 Điện Biên Phủ, Phường Đao Kao, Quận 1, ho chi minh"
Aquafina 350,0.1801625,11,8,"176 Bùi Viện Phường Phạm Ngũ Lão Quận 1, TPHCM"
Aquafina 500,0.29435,12.5,15,"95C Nguyễn Văn Thủ,P. Đa Kao, Q.1, HCM"
Aquafina 500,0.29435,12.5,15,"331C Trần Hưng Đạo, Phường Cô Giang, Quận 1, TP HCM"
Aquafina 350,0.1801625,11,11,"805 Nguyễn Xiển, phường Long Thạnh Mỹ, quận 9, Thành phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,9,"217A Long Phước, Phường Long Phước, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,11,"54 Đường 339, Phường Phước Long B, Quận 9, Thành phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,16,"50 đường 297, KP 4, Phường Phước Long B, Quận 9, Thành phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,19,"1443 Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Thành phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,19,"D1 đường 672, Khu phố 1, phường Phước Long B, quận 9, Thành phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,15,"40A đường 147, Phường Phước Long B, Quận 9, thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,13,"37 đường 385, phường Tăng Nhơn Phú A, Quận 9,Thành phố Hồ chí Minh"
Aquafina 500,0.29435,12.5,18,"72 Nguyễn Văn Tăng, Phường Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,12,"22 Lê Lợi, Phường Hiệp Phú, Quận 9, thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,6,"34 Nam Cao, Phường Tân Phú, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,20,"355A Đỗ Xuân Hợp, KP5, Phường Phước Long B, Quận 9, TPHCM"
Aquafina 500,0.29435,12.5,6,"97 Lò Lu, Khu Phố Phước Hiệp, Phường Trường Thạnh, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,7,"411 Nguyễn Văn Tăng, Phường Long Thạnh Mỹ, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,5,"77A Dương Đình Hội, Phường Phước Long B , Quận 9 , TP. HCM"
Aquafina 350,0.1801625,11,2,"206 Đình Phong Phú, KP3, Phường Tăng Nhơn Phú B, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,14,"89 Đình Phong Phú, Phường Tăng Nhơn Phú, Quận 9, thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,1,"909 Nguyễn Duy Trinh, Phường Phú Hữu, Quận 9, TP. HCM"
Aquafina 350,0.1801625,11,15,"241A- 243 Lê Văn Việt , Phường Hiệp Phú, Quận 9, TP. HCM"
Aquafina 500,0.29435,12.5,19,"Số 04 - A13 Đường D7, Khu phố 6, phường Tăng nhơn Phú B, Quận 9, TP. HCM"
Aquafina 350,0.1801625,11,13,"17 Đường Làng Tăng Phú, Khu Phố 4, Phường Tăng Nhơn Phú A, Quận 9 , TP. HCM"
Aquafina 500,0.29435,12.5,16,"199 Nguyễn Văn Tăng, Phường Long Thạnh Mỹ, Quận 9 , thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,15,"Số 1180 Nguyễn Duy Trinh, Phường Long Trường, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,9,"1323 Nguyễn Duy Trinh, KP.Phước Lai, Long Trường, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,17,"57 Quang Trung, phường Hiệp Phú, quận 9, thành phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,7,"107-109 Man Thiện, khu phố 6, phường Hiệp Phú, quận 9, thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,15,"66 Tây Hòa, Khu Phố 4, Phường Phước Long A, quận 9, TP.Hồ Chí Minh"
Aquafina 500,0.29435,12.5,10,"392, ĐƯỜNG CÂY TRÂM , PHƯỜNG 9, QUẬN GÒ VẤP, Thành Phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,13,"58, Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, ho chi minh"
Aquafina 500,0.29435,12.5,9,Số 530 - đường Lê Văn Việt - khu phố Mỹ Thành - phường Long Thạnh Mỹ - quận 9 - Tp.HCM
Aquafina 350,0.1801625,11,5,"B2/1,  KHU PHỐ 2 , Le Van Viet, PHƯỜNG TĂNG NHƠN PHÚ A, QUẬN 9, ho chi minh"
Aquafina 350,0.1801625,11,14,"184 Tây Hòa, KP 4, P. Phước Long, quận 9, HCM"
Aquafina 350,0.1801625,11,11,"107 - 109 Đỗ Xuân Hợp, phường Phước Long B, Quận 9, ho chi minh"
Aquafina 350,0.1801625,11,15,"189C Cống Quỳnh,P.Nguyễn Cư Trinh, Q1,TPHCM"
Aquafina 500,0.29435,12.5,3,"191 Quang Trung, P.Hiệp Phú, Q.9, TPHCM"
Aquafina 500,0.29435,12.5,2,"175 Hòa Bình, Phường Hiệp Tân, Quận tân Phú, TP.HCM"
Aquafina 350,0.1801625,11,4,"02 Trường Chinh, P.Tây Thạnh, Q.Tân Phú, TPHCM"
Aquafina 350,0.1801625,11,8,"Số 0.01-0.02-0.03 Cao ốc B Ngô Gia Tự, Đường Hòa Hảo, Phường 3, Quận 10, TPHCM"
Aquafina 350,0.1801625,11,18,"497 Hòa Hảo, P.7, Q.10, TPHCM"
Aquafina 350,0.1801625,11,11,"Tầng B1 Trung tâm Thương mại Vạn Hạnh, Số 11 Sư Vạn Hạnh, Phường 12, Quận 10, TP.HCM"
Aquafina 500,0.29435,12.5,11,"126A Dường Man Thiện, Phường Tân Phú, Quận 9, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,9,"103 Đường số 154, Phường Tân Phú, Quận 9, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,12,"1 Đường D3, Phước Long B, Quận 9, Hồ Chí Minh"
Aquafina 350,0.1801625,11,19,"347 Đỗ Xuân Hợp, Phước Long B, Quận 9, Hồ Chí Minh"
Aquafina 350,0.1801625,11,13,"135, Hoàng Diệu 2, Phường Linh Trung, Quận Thủ Đức, Thành Phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,13,"72A Đường số 8, KP3, Thủ Đức, Hồ Chí Minh"
Aquafina 350,0.1801625,11,1,"52 Ngô Quyền, Hiệp Phú, Quận 9, Hồ Chí Minh"
Aquafina 350,0.1801625,11,16,"110 Đường số 17, Phường Linh Trung, Thủ Đức, Hồ Chí Minh"
Aquafina 350,0.1801625,11,15,"1 Đặng Văn Bi, Phước Long B, Thủ Đức, Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"1 Võ Văn Ngân, Phước Long, Thủ Đức, Hồ Chí Minh"
Aquafina 350,0.1801625,11,7,"200 Tô Ngọc Vân, Linh Đông, Thủ Đức, Hồ Chí Minh"
Aquafina 350,0.1801625,11,4,"405 Hoàng Văn Thụ, Phường 2, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,12,"16 Nguyễn Cửu Đàm, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
Aquafina 350,0.1801625,11,12,"205 Võ Thành Trang, Phường 11, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,1,"274 Tân Kỳ Tân Quý, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
Aquafina 350,0.1801625,11,15,"146 Phạm Phú Thứ, Phường 11, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,12,"22/19 Âu Cơ, Phường 13, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,3,"33-35 Nguyễn Bá Tòng, Tân Thạnh, Tân Phú, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,20,"33 Trương Công Định, Phường 13, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,5,"1002 Đường Trần Văn Giàu, Tân Tạo, Bình Tân, Hồ Chí Minh"
Aquafina 350,0.1801625,11,3,"138 Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,7,"216 Tây Thạnh, Phường 15, Tân Phú, Hồ Chí Minh"
Aquafina 350,0.1801625,11,19,"16 Nguyễn Cửu Đàm, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"3/30B Cống Lỡ, Phường 15, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,2,"105 Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,10,"P5 P15, Q10, Bis Bạch Mã, Phường 15, Quận 10, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,6,"297 Đường Hồng Lạc, Phường 10, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,3,"Bàu Cát 2, Phường 12, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,16,"86 Trần Văn Quang, Phường 10, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,18,"87 Phan Sào Nam, Phường 11, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,14,"95 Pasteur, Bến Nghé, Quận 1, Hồ Chí Minh"
Aquafina 350,0.1801625,11,10,"214 Trần Quang Khải, Tân Định, Quận 1, Hồ Chí Minh"
Aquafina 350,0.1801625,11,3,"4 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,14,"231 Lê Văn Sỹ, Phường 13, Quận 3, Tp Hồ Chí Minh"
Aquafina 500,0.29435,12.5,12,"575 Đường Điện Biên Phủ, Phường 1, Quận 3, Thành Phố Hồ Chí Minh, Phường 1, Quận 3, Hồ Chí Minh"
Aquafina 350,0.1801625,11,13,"467 Cách Mạng Tháng 8, Phường 13, Quận 10, Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"214 Trần Quang Khải, Tân Định, Quận 1, Hồ Chí Minh"
Aquafina 350,0.1801625,11,10,"209 Đường Lê Văn Sỹ, Phường 13, Phú Nhuận, Hồ Chí Minh"
Aquafina 350,0.1801625,11,10,"Đường số 48, Phường 3, Quận 4, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,17,"1382 Đường 3 Tháng 2, Phường 2, Quận 11, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,9,"265A Đường Nguyễn Ảnh Thủ, Hiệp Thành, Quận 12, Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"402 Lê Văn Khương, Tân Thới An, Quận 12, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,7,"916 Đường Nguyễn Văn Quá, Đông Hưng Thuận, Quận 12, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,7,"174 Phan Văn Hớn, Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Aquafina 350,0.1801625,11,8,"D5, Hiệp Thành, Quận 12, Hồ Chí Minh"
Aquafina 350,0.1801625,11,2,"6 Đông Bắc, Tân Hưng Thuận, Quận 12, Hồ Chí Minh"
Aquafina 350,0.1801625,11,20,"916 Đường Nguyễn Văn Quá, Đông Hưng Thuận, Quận 12, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,16,"1081 Đường Nguyễn Ảnh Thủ, Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
Aquafina 350,0.1801625,11,7,"102 Vĩnh Hội, Phường 4, Quận 4, Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"Đường số 48, Phường 3, Quận 4, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,13,"42 Tôn Thất Thuyết, Phường 4, Quận 4, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,17,"84 Nguyễn Khoái, Phường 2, Quận 4, Hồ Chí Minh"
Aquafina 350,0.1801625,11,5,"224 Xóm Chiếu, Phường 15, Quận 4, Hồ Chí Minh"
Aquafina 350,0.1801625,11,9,"113 Trần Chánh Chiếu, Phường 14, Quận 5, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,1,"345 Hưng Phú, Phường 9, Quận 8, Hồ Chí Minh"
Aquafina 350,0.1801625,11,8,"32-34 Tháp Mười, Phường 13, Quận 6, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,13,"1289 Phạm Thế Hiển, Phường 5, Quận 8, Hồ Chí Minh"
Aquafina 350,0.1801625,11,8,"51/5 Thành Thái, Phường 14, Quận 10, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,15,"1382 Đường 3 Tháng 2, Phường 2, Quận 11, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,15,"132/32a Liên Tỉnh 5, Phường 6, Quận 8, Hồ Chí Minh"
Aquafina 350,0.1801625,11,11,"274 Tân Kỳ Tân Quý, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,9,"62, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 350,0.1801625,11,11,"5, Pasteur, quan 1, Ho Chi Minh"
Aquafina 500,0.29435,12.5,16,"4, Truong Chinh, tan binh, ho chi minh"
Aquafina 500,0.29435,12.5,19,"28, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 500,0.29435,12.5,19,"12, D3, binh thanh, ho chi minh"
Aquafina 500,0.29435,12.5,15,"3, Cong hoa, tan binh, ho chi minh"
Aquafina 350,0.1801625,11,13,"48, Cong hoa, tan binh, ho chi minh"
Aquafina 500,0.29435,12.5,18,"77, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 500,0.29435,12.5,12,"43, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 350,0.1801625,11,6,"34, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,0.1801625,11,20,"12, Nguyen Oanh, go vap, ho chi minh"
Aquafina 500,0.29435,12.5,6,"53, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 500,0.29435,12.5,7,"18, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 350,0.1801625,11,5,"14, Truong Chinh, tan binh, ho chi minh"
Aquafina 350,0.1801625,11,2,"14, Nguyen Oanh, go vap, ho chi minh"
Aquafina 500,0.29435,12.5,14,"15, Cong hoa, tan binh, ho chi minh"
Aquafina 350,0.1801625,11,1,"52, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,0.1801625,11,15,"52, Nguyen Oanh, go vap, ho chi minh"
Aquafina 500,0.29435,12.5,19,"28, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 350,0.1801625,11,13,"7, Cong hoa, tan binh, ho chi minh"
Aquafina 500,0.29435,12.5,16,"44, Cong hoa, tan binh, ho chi minh"
Aquafina 350,0.1801625,11,15,"70, Truong Chinh, tan binh, ho chi minh"
Aquafina 500,0.29435,12.5,9,"96, Pasteur, quan 1, Ho Chi Minh"
Aquafina 500,0.29435,12.5,17,"14, Kha Van Can, thu duc, ho chi minh"
Aquafina 500,0.29435,12.5,7,"66, Cong hoa, tan binh, ho chi minh"
Aquafina 350,0.1801625,11,15,"12, Phan Huy Ich, go vap, ho chi minh"
Aquafina 500,0.29435,12.5,10,"83, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,0.1801625,11,13,"16, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 500,0.29435,12.5,9,"49, Cong hoa, tan binh, ho chi minh"
Aquafina 350,0.1801625,11,5,"11, Kha Van Can, thu duc, ho chi minh"
Aquafina 350,0.1801625,11,14,"91, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,0.1801625,11,11,"2, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,0.1801625,11,15,"60, Kha Van Can, thu duc, ho chi minh"
Aquafina 500,0.29435,12.5,3,"51, Huynh Van Cu, thu dau mot, binh duong"
Aquafina 500,0.29435,12.5,2,"97, Pasteur, quan 1, Ho Chi Minh"
Aquafina 350,0.1801625,11,4,"8, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,0.1801625,11,8,"61, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,0.1801625,11,18,"81, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,0.1801625,11,11,"17, Kha Van Can, thu duc, ho chi minh"
Aquafina 500,0.29435,12.5,11,"51, Cong hoa, tan binh, ho chi minh"
Aquafina 500,0.29435,12.5,9,"34, Le Van Viet, quan 9, Ho Chi Minh"
Aquafina 500,0.29435,12.5,12,"40, D3, binh thanh, ho chi minh"
Aquafina 350,0.1801625,11,19,"20, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,0.1801625,11,13,"7, Pasteur, quan 1, Ho Chi Minh"
Aquafina 350,0.1801625,11,13,"26, Le Van Viet, quan 9, Ho Chi Minh"
Aquafina 350,0.1801625,11,1,"43, Le Van Viet, quan 9, Ho Chi Minh"
Aquafina 350,0.1801625,11,16,"69, Kha Van Can, thu duc, ho chi minh"
Aquafina 350,0.1801625,11,15,"69, Nguyen Thi Minh Khai, quan 1, ho chi minh"
Aquafina 350,0.1801625,11,18,"1, Vo Van Ngan, thu duc, Ho Chi Minh"
Aquafina 350,0.1801625,11,7,"91, Huynh Van Cu, thu dau mot, binh duong"
Aquafina 350,0.1801625,11,4,"31, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 500,0.29435,12.5,12,"59, Pasteur, quan 1, Ho Chi Minh"
Aquafina 350,0.1801625,11,12,"37, Phan Huy Ich, go vap, ho chi minh"
Aquafina 350,0.1801625,11,1,"86, Pasteur, quan 1, Ho Chi Minh"
Aquafina 350,0.1801625,11,15,"69, Phu Tho Hoa, tan phu, ho chi minh"
Aquafina 350,0.1801625,11,12,"80, Phu Tho Hoa, tan phu, ho chi minh"
