name,size,weight,quantity,address
Aquafina 350,0.1801625,11,10,"Số 1180 Nguyễn Duy Trinh, Phường Long Trường, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,17,"1323 Nguyễn Duy Trinh, KP.Phước Lai, Long Trường, Quận 9, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,9,"57 Quang Trung, phường Hiệp Phú, quận 9, thành phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"107-109 Man Thiện, khu phố 6, phường Hiệp Phú, quận 9, thành phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,7,"66 Tây Hòa, Khu Phố 4, Phường Phước Long A, quận 9, TP.Hồ Chí Minh"
Aquafina 500,0.29435,12.5,7,"392, ĐƯỜNG CÂY TRÂM , PHƯỜNG 9, QUẬN GÒ VẤP, Thành Phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,8,"58, Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, ho chi minh"
Aquafina 350,0.1801625,11,2,Số 530 - đường Lê Văn Việt - khu phố Mỹ Thành - phường Long Thạnh Mỹ - quận 9 - Tp.HCM
Aquafina 350,0.1801625,11,20,"B2/1,  KHU PHỐ 2 , Le Van Viet, PHƯỜNG TĂNG NHƠN PHÚ A, QUẬN 9, ho chi minh"
Aquafina 500,0.29435,12.5,16,"184 Tây Hòa, KP 4, P. Phước Long, quận 9, HCM"
Aquafina 350,0.1801625,11,7,"107 - 109 Đỗ Xuân Hợp, phường Phước Long B, Quận 9, ho chi minh"
Aquafina 350,0.1801625,11,18,"189C Cống Quỳnh,P.Nguyễn Cư Trinh, Q1,TPHCM"
Aquafina 500,0.29435,12.5,13,"191 Quang Trung, P.Hiệp Phú, Q.9, TPHCM"
Aquafina 500,0.29435,12.5,17,"175 Hòa Bình, Phường Hiệp Tân, Quận tân Phú, TP.HCM"
Aquafina 350,0.1801625,11,5,"02 Trường Chinh, P.Tây Thạnh, Q.Tân Phú, TPHCM"
Aquafina 350,0.1801625,11,9,"Số 0.01-0.02-0.03 Cao ốc B Ngô Gia Tự, Đường Hòa Hảo, Phường 3, Quận 10, TPHCM"
Aquafina 500,0.29435,12.5,1,"497 Hòa Hảo, P.7, Q.10, TPHCM"
Aquafina 350,0.1801625,11,8,"Tầng B1 Trung tâm Thương mại Vạn Hạnh, Số 11 Sư Vạn Hạnh, Phường 12, Quận 10, TP.HCM"
Aquafina 500,0.29435,12.5,13,"126A Dường Man Thiện, Phường Tân Phú, Quận 9, Hồ Chí Minh"
Aquafina 350,0.1801625,11,8,"103 Đường số 154, Phường Tân Phú, Quận 9, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,15,"1 Đường D3, Phước Long B, Quận 9, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,15,"347 Đỗ Xuân Hợp, Phước Long B, Quận 9, Hồ Chí Minh"
Aquafina 350,0.1801625,11,11,"135, Hoàng Diệu 2, Phường Linh Trung, Quận Thủ Đức, Thành Phố Hồ Chí Minh"
Aquafina 500,0.29435,12.5,9,"72A Đường số 8, KP3, Thủ Đức, Hồ Chí Minh"
Aquafina 350,0.1801625,11,11,"52 Ngô Quyền, Hiệp Phú, Quận 9, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,16,"110 Đường số 17, Phường Linh Trung, Thủ Đức, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,19,"1 Đặng Văn Bi, Phước Long B, Thủ Đức, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,19,"1 Võ Văn Ngân, Phước Long, Thủ Đức, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,15,"200 Tô Ngọc Vân, Linh Đông, Thủ Đức, Hồ Chí Minh"
Aquafina 350,0.1801625,11,13,"405 Hoàng Văn Thụ, Phường 2, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,18,"16 Nguyễn Cửu Đàm, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,12,"205 Võ Thành Trang, Phường 11, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,6,"274 Tân Kỳ Tân Quý, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
Aquafina 350,0.1801625,11,20,"146 Phạm Phú Thứ, Phường 11, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,6,"22/19 Âu Cơ, Phường 13, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,7,"33-35 Nguyễn Bá Tòng, Tân Thạnh, Tân Phú, Hồ Chí Minh"
Aquafina 350,0.1801625,11,5,"33 Trương Công Định, Phường 13, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,2,"1002 Đường Trần Văn Giàu, Tân Tạo, Bình Tân, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,14,"138 Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,1,"216 Tây Thạnh, Phường 15, Tân Phú, Hồ Chí Minh"
Aquafina 350,0.1801625,11,15,"16 Nguyễn Cửu Đàm, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,19,"3/30B Cống Lỡ, Phường 15, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,13,"105 Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,16,"P5 P15, Q10, Bis Bạch Mã, Phường 15, Quận 10, Hồ Chí Minh"
Aquafina 350,0.1801625,11,15,"297 Đường Hồng Lạc, Phường 10, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,9,"Bàu Cát 2, Phường 12, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,17,"86 Trần Văn Quang, Phường 10, Tân Bình, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,7,"87 Phan Sào Nam, Phường 11, Tân Bình, Hồ Chí Minh"
Aquafina 350,0.1801625,11,15,"95 Pasteur, Bến Nghé, Quận 1, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,10,"214 Trần Quang Khải, Tân Định, Quận 1, Hồ Chí Minh"
Aquafina 350,0.1801625,11,13,"4 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,9,"231 Lê Văn Sỹ, Phường 13, Quận 3, Tp Hồ Chí Minh"
Aquafina 350,0.1801625,11,5,"575 Đường Điện Biên Phủ, Phường 1, Quận 3, Thành Phố Hồ Chí Minh"
Aquafina 350,0.1801625,11,14,"467 Cách Mạng Tháng 8, Phường 13, Quận 10, Hồ Chí Minh"
Aquafina 350,0.1801625,11,11,"214 Trần Quang Khải, Tân Định, Quận 1, Hồ Chí Minh"
Aquafina 350,0.1801625,11,15,"209 Đường Lê Văn Sỹ, Phường 13, Phú Nhuận, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,3,"Đường số 48, Phường 3, Quận 4, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,2,"1382 Đường 3 Tháng 2, Phường 2, Quận 11, Hồ Chí Minh"
Aquafina 350,0.1801625,11,4,"265A Đường Nguyễn Ảnh Thủ, Hiệp Thành, Quận 12, Hồ Chí Minh"
Aquafina 350,0.1801625,11,8,"402 Lê Văn Khương, Tân Thới An, Quận 12, Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"916 Đường Nguyễn Văn Quá, Đông Hưng Thuận, Quận 12, Hồ Chí Minh"
Aquafina 350,0.1801625,11,11,"174 Phan Văn Hớn, Tân Thới Nhất, Quận 12, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,11,"D5, Hiệp Thành, Quận 12, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,9,"6 Đông Bắc, Tân Hưng Thuận, Quận 12, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,12,"916 Đường Nguyễn Văn Quá, Đông Hưng Thuận, Quận 12, Hồ Chí Minh"
Aquafina 350,0.1801625,11,19,"1081 Đường Nguyễn Ảnh Thủ, Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
Aquafina 350,0.1801625,11,13,"102 Vĩnh Hội, Phường 4, Quận 4, Hồ Chí Minh"
Aquafina 350,0.1801625,11,13,"Đường số 48, Phường 3, Quận 4, Hồ Chí Minh"
Aquafina 350,0.1801625,11,1,"42 Tôn Thất Thuyết, Phường 4, Quận 4, Hồ Chí Minh"
Aquafina 350,0.1801625,11,16,"84 Nguyễn Khoái, Phường 2, Quận 4, Hồ Chí Minh"
Aquafina 350,0.1801625,11,15,"224 Xóm Chiếu, Phường 15, Quận 4, Hồ Chí Minh"
Aquafina 350,0.1801625,11,18,"113 Trần Chánh Chiếu, Phường 14, Quận 5, Hồ Chí Minh"
Aquafina 350,0.1801625,11,7,"345 Hưng Phú, Phường 9, Quận 8, Hồ Chí Minh"
Aquafina 350,0.1801625,11,4,"32-34 Tháp Mười, Phường 13, Quận 6, Hồ Chí Minh"
Aquafina 500,0.29435,12.5,12,"1289 Phạm Thế Hiển, Phường 5, Quận 8, Hồ Chí Minh"
Aquafina 350,0.1801625,11,12,"51/5 Thành Thái, Phường 14, Quận 10, Hồ Chí Minh"
Aquafina 350,0.1801625,11,1,"1382 Đường 3 Tháng 2, Phường 2, Quận 11, Hồ Chí Minh"
Aquafina 350,0.1801625,11,15,"132/32a Liên Tỉnh 5, Phường 6, Quận 8, Hồ Chí Minh"
Aquafina 350,0.1801625,11,12,"274 Tân Kỳ Tân Quý, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
